Country,Code,Year,Labor_Participation,Female_Male_Ratio,Unemployment_Rate
United States,USA,1991,74.712,75.1892052034798,6.8
United States,USA,1992,75.08,75.7311869927453,7.5
United States,USA,1993,75.052,76.3092033171444,6.9
United States,USA,1994,75.252,78.0010605174781,6.12
United States,USA,1995,75.438,78.4024715553378,5.65
United States,USA,1996,75.643,78.8397669733762,5.45
United States,USA,1997,75.98,79.5914203718564,5.0
United States,USA,1998,75.909,79.7786500926834,4.51
United States,USA,1999,75.842,80.1094193407553,4.22
United States,USA,2000,75.78,80.2106898525444,3.99
United States,USA,2001,75.354,80.4631902261103,4.73
United States,USA,2002,74.928,80.6514334569825,5.78
United States,USA,2003,74.324,81.1490000834423,5.99
United States,USA,2004,73.988,80.9527791715448,5.53
United States,USA,2005,73.972,81.1023622047244,5.08
United States,USA,2006,74.067,81.1237268325263,4.62
United States,USA,2007,73.797,81.3380084935181,4.62
United States,USA,2008,73.777,81.8724429748361,5.78
United States,USA,2009,73.108,82.6511330539177,9.25
United States,USA,2010,72.427,82.7037659186516,9.63
United States,USA,2011,71.883,82.5049529290972,8.95
United States,USA,2012,71.841,82.175668050753,8.07
United States,USA,2013,71.571,81.9315637991685,7.37
United States,USA,2014,71.459,82.1784638774377,6.17
United States,USA,2015,71.366,81.9221767115272,5.28
United States,USA,2016,71.721,81.9333557135142,4.87
United States,USA,2017,72.128,82.4432166973603,4.36
United States,USA,2018,72.401,82.5388245262896,3.9
United States,USA,2019,72.865,82.972330401552,3.67
United States,USA,2020,72.80166666666666,82.9906430657369,3.663333333333333
United States,USA,2021,72.73833333333333,82.9139507480274,3.6566666666666667
United States,USA,2022,72.675,83.2545065143673,3.65
